"","LoC_classifications","title","downloads","author_birthdate","author_deathdate","author_name","pub_day","pub_date_full","pub_month","pub_month_name","pub_year","difficulty.ari","difficulty.coleman","difficulty.dale","difficulty.vocabulary","difficulty.flesch.grade","difficulty.flesch.ease","difficulty.gunning","difficulty.linsear","difficulty.smog","polarity","subjectivity","avg_letter_per_word","avg_sentence_length","sentences_over_words","characters","polysyllables","sentences","syllables","words"
"539","PS","Tender Buttons: Objects—Food—Rooms",722,1874,1946,"Stein, Gertrude",17,"March 17, 2005",3,"March",2005,8.4,8.87,6.61,2068,7.2,72.16,8.4,4.5,3.1,0.0865735569455533,0.47177428000903,4.56,16,0.06,68339,370,891,20475,14971
"540","E300","The Underground Railroad: A Record of Facts, Authentic Narratives, Letters, &c., Narrating the Hardships, Hair-Breadth Escapes and Death Struggles of the Slaves in Their Efforts for Freedom, As Related by Themselves and Others, or Witnessed by the Author.",721,1821,1902,"Still, William",5,"March 5, 2005",3,"March",2005,12.2,11.02,5.68,25467,9.1,67.08,10.4,11,3.1,0.117730843464034,0.481260673854922,4.88,21,0.05,1969355,13163,18936,564976.8,403272
"541","PR","Nicholas Nickleby",721,1812,1870,"Dickens, Charles",27,"April 27, 2006",4,"April",2006,11.8,11.37,5.7,22937,8.3,69.11,9.6,14,3.1,0.100459837947223,0.505304959076763,4.94,19,0.05,1592784,9785,16183,443869.2,322303
"542","PR","Jude the Obscure",720,1840,1928,"Hardy, Thomas",1,"August, 1994",8,"August",1994,9.2,10.09,5.96,13910,6,80.62,8.4,9,3.1,0.0540306164784081,0.47790287370101,4.77,16,0.06,686001,4085,8767,194140.8,143965
"543","PZ,PS","Daddy-Long-Legs",718,1876,1916,"Webster, Jean",9,"June 9, 2008",6,"June",2008,8.1,9.45,6.24,4473,5.2,82.65,7.6,13.5,3.1,0.108675077302107,0.505866242052846,4.71,14,0.07,174193,1025,2513,49631.4,36951
"544","PR","The Tenant of Wildfell Hall",718,1820,1849,"Bronte, Anne",2,"February 2, 2010",2,"February",2010,12.4,10.51,6.14,14540,9.9,65.05,11.2,11,3.1,0.091228111764357,0.519543673986318,4.74,23,0.04,798839,4785,7296,229651.2,168520
"545","PE","Fifteen Thousand Useful Phrases: A Practical Handbook Of Pertinent Expressions, Striking Similes, Literary, Commercial, Conversational, And Oratorical Terms, For The Embellishment Of Speech And Literature, And The Improvement Of The Vocabulary Of Those Persons Who Read, Write, And Speak English",717,1868,1953,"Kleiser, Grenville",10,"May 10, 2006",5,"May",2006,125.1,19.46,17.9,13477,96.1,-175.51,96,6,28.7,0.0981851355318784,0.598685512698755,6.08,235,0,496119,7003,346,137055.6,81607
"546","","Plain Living: A Bush Idyll",717,1826,1915,"Boldrewood, Rolf",8,"March 8, 2016",3,"March",2016,10.2,11.25,6.46,9840,7.2,72.16,8.4,7,3.1,0.150580883237468,0.513475670322639,4.97,16,0.06,381201,2619,4644,108207,76638
"547","PS,HM","On the Duty of Civil Disobedience",717,1817,1862,"Thoreau, Henry David",12,"12 June 2004",6,"June",2004,13.9,10.16,7.44,1487,11.1,62.01,12.4,14,8.8,0.111757981174077,0.509667646660797,4.68,26,0.04,43665,390,352,13063.5,9333
"548","PR","The Man Who Would Be King",714,1865,1936,"Kipling, Rudyard",1,"May, 2005",5,"May",2005,8.7,8.93,6.45,1767,6.4,79.6,8.8,13,3.1,0.0608076882554437,0.432788622339705,4.57,17,0.06,64923,227,822,18047.7,14194
"549","BR","Orthodoxy",713,1874,1936,"Chesterton, G. K. (Gilbert Keith)",1,"May, 1994",5,"May",1994,10.8,10.1,6.37,7018,8.7,68.1,10,7.5,3.1,0.0751238250220481,0.512496884082579,4.72,20,0.05,300901,2760,3186,90873,63809
"550","PR","The Tragedy of Macbeth",712,1564,1616,"Shakespeare, William",1,"January 1, 1623",1,"January",1623,8.2,10.19,6.39,2439,4.8,83.66,7.2,52,3.1,0.122414773420818,0.505413648357961,4.89,13,0.08,89223,165,1392,23570.1,18248
